mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_final_estimator__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
33.846026515960695,1.0068051145017238,0.7170552253723145,0.04201575566637609,0.0745934328572655,{'final_estimator__C': np.float64(0.0745934328572655)},0.9819405519135005,0.9844157954166971,0.9793711749348109,0.9750833617236139,0.9815315465479995,0.9804684861073245,0.003133112907619458,11,0.9999892036248182,0.9999846310423882,0.999989180660568,0.9999910854738481,0.9999974348514492,0.9999903071306143,4.150056863403798e-06
33.53139352798462,0.6201114137373346,0.7392195701599121,0.03439438067741357,56.69849511478853,{'final_estimator__C': np.float64(56.69849511478853)},0.9820404714904264,0.9848203478501044,0.9794695584369544,0.9745263972693293,0.9806257678588417,0.9802965085811313,0.0033939054531320675,25,0.999995706853163,0.9999968245955347,0.9999983745593342,0.9999987555219902,0.9999979428016573,0.999997520866336,1.1141483344388942e-06
33.70924701690674,0.3267776448637037,0.7536710262298584,0.065032318578926,4.5705630998014515,{'final_estimator__C': np.float64(4.5705630998014515)},0.9820997733531548,0.9848471555414747,0.9794345957047876,0.974565425435469,0.9808152170819778,0.9803524334233729,0.0034000523523486314,19,0.999995706853163,0.9999968245955347,0.9999983745593342,0.9999987555219902,0.9999979428016573,0.999997520866336,1.1141483344388942e-06
34.38571138381958,1.5502409094403755,0.740989351272583,0.07888042386980186,0.9846738873614566,{'final_estimator__C': np.float64(0.9846738873614566)},0.9821712605301425,0.9848772126499808,0.9795801382410168,0.9747215381000276,0.9809973485239629,0.9804694996090261,0.0033595408648467787,10,0.999995706853163,0.9999967737890633,0.9999983745593342,0.9999987555219902,0.9999979428016573,0.9999975107050417,1.1206647776113697e-06
33.36275100708008,0.8860166830088416,0.7219200134277344,0.04618302460517835,0.006026889128682512,{'final_estimator__C': np.float64(0.006026889128682512)},0.9812939179034761,0.9837732231780923,0.9790996039454224,0.9747402390963028,0.9810632085543235,0.9799940385355235,0.0030171996701074603,41,0.9999261019872849,0.9999440874781761,0.9999607354489154,0.9999627926472583,0.9999487224264945,0.9999484879976258,1.3230087312655975e-05
38.0064817905426,4.860531474397851,0.8420349597930908,0.11725267153602816,0.0060252157362038605,{'final_estimator__C': np.float64(0.0060252157362038605)},0.9812914808406242,0.9837732231780923,0.9790996039454224,0.9747402390963028,0.9810632085543235,0.9799935511229532,0.0030169898316853524,42,0.9999260511808136,0.9999440874781761,0.9999606846538946,0.9999627926472583,0.9999487224264945,0.9999484676773275,1.3237897398480784e-05
40.674050664901735,3.465888289601042,0.8666318416595459,0.07750784889702753,0.0019517224641449498,{'final_estimator__C': np.float64(0.0019517224641449498)},0.9811874994922786,0.9836911753954135,0.9790695197340231,0.974672752892353,0.9810014139579358,0.9799244722944007,0.003008474492454838,47,0.9999186334359828,0.999937431830417,0.9999570782074173,0.9999597449460097,0.9999404936331235,0.99994267641059,1.4893498043461664e-05
34.946506309509275,0.3387460691261179,0.7516729831695557,0.05623249627481784,21.42302175774105,{'final_estimator__C': np.float64(21.42302175774105)},0.9820607803475252,0.984825221975808,0.9795053342559159,0.9745247710957402,0.9806460950287061,0.9803124405407392,0.003396520332269807,23,0.999995706853163,0.9999968245955347,0.9999983745593342,0.9999987555219902,0.9999979428016573,0.999997520866336,1.1141483344388942e-06
35.36483516693115,0.3709341578795136,0.7571704387664795,0.06120864795012536,1.0129197956845732,{'final_estimator__C': np.float64(1.0129197956845732)},0.982160699924451,0.9848739632328452,0.9795842036749897,0.9747182857528492,0.9810006008711413,0.9804675506912552,0.0033586222648567827,12,0.999995706853163,0.9999967737890633,0.9999983745593342,0.9999987555219902,0.9999979428016573,0.9999975107050417,1.1206647776113697e-06
35.52314677238464,0.4895420211935197,0.8323509216308593,0.035490997361796464,3.4702669886504163,{'final_estimator__C': np.float64(3.4702669886504163)},0.9820940868731671,0.9848552790843143,0.9794451658331171,0.9745491636995774,0.9808371704254313,0.9803561731831214,0.0034071967887117287,18,0.999995706853163,0.9999968245955347,0.9999983745593342,0.9999987555219902,0.9999979428016573,0.999997520866336,1.1141483344388942e-06
34.83384947776794,0.766623955194449,0.7852915763854981,0.06300443157738493,0.001267425589893723,{'final_estimator__C': np.float64(0.001267425589893723)},0.9811745018237353,0.9836724912468827,0.9790687066472286,0.9746434817677482,0.9809867783956333,0.9799091919762457,0.003011934344900235,50,0.9999173632741967,0.9999362632815737,0.9999559099219387,0.9999589830206976,0.9999388681924576,0.9999414775381729,1.5034829587643822e-05
34.40923938751221,0.28912406353576514,0.7440539836883545,0.054583983106058095,70.72114131472235,{'final_estimator__C': np.float64(70.72114131472235)},0.9820388467818584,0.9848187231415364,0.9794687453501598,0.9745272103561239,0.9806233285984579,0.9802953708456273,0.0033930212425857223,28,0.999995706853163,0.9999968245955347,0.9999983745593342,0.9999987555219902,0.9999979428016573,0.999997520866336,1.1141483344388942e-06
35.10232577323914,1.8411467210781425,0.7371360301971436,0.09038557824795115,14.528246637516036,{'final_estimator__C': np.float64(14.528246637516036)},0.9820729656617844,0.9848357825814995,0.9795020819087376,0.9745353412240696,0.9806688614589542,0.9803230065670091,0.0033975905348658554,21,0.999995706853163,0.9999968245955347,0.9999983745593342,0.9999987555219902,0.9999979428016573,0.999997520866336,1.1141483344388942e-06
34.72901911735535,0.8921648104799459,0.8222432613372803,0.11808180982667085,0.011526449540315618,{'final_estimator__C': np.float64(0.011526449540315618)},0.9813930251261179,0.983895076320685,0.9791256227228489,0.9748004075191015,0.9811534611885215,0.9800735185754551,0.0030402593292320392,35,0.999934231022716,0.9999494729641492,0.9999640879202888,0.9999659419385483,0.9999584750704895,0.9999544417832382,1.1616651343941829e-05
35.38564548492432,1.1864882590773465,0.7854239463806152,0.0344085754072185,0.008111941985431923,{'final_estimator__C': np.float64(0.008111941985431923)},0.9813442838690809,0.98381384089229,0.9791109871605465,0.9747654447869347,0.9811038628940523,0.9800276839205809,0.0030251636276832417,39,0.9999293536014573,0.9999463737693911,0.999962208504519,0.9999642149078408,0.9999526844381174,0.999950967044265,1.2594164074515554e-05
34.49110860824585,1.150908329503141,0.7539900779724121,0.054339974725314426,0.008260808399079604,{'final_estimator__C': np.float64(0.008260808399079604)},0.9813475332862168,0.9838162779551418,0.9791126133341356,0.9747695102209075,0.9811038628940523,0.9800299595380908,0.0030245438410299486,38,0.999929658440286,0.9999465261888054,0.9999623100945606,0.9999642657028617,0.9999528876182007,0.9999511296089431,1.2512820458193719e-05
34.01493601799011,0.7464161026492556,0.7195062160491943,0.06659176743860618,0.033205591037519584,{'final_estimator__C': np.float64(0.033205591037519584)},0.9816440425998586,0.984174526194364,0.9792158753570468,0.9749459500553306,0.9813770600570298,0.9802714908527259,0.003092428666972866,31,0.9999594310325521,0.9999677124873975,0.9999750596447834,0.999977116843126,0.9999848376862889,0.9999728315388297,8.640070855319538e-06
33.56657509803772,0.9518530439196656,0.6975318908691406,0.06166254045445215,0.4205156450913872,{'final_estimator__C': np.float64(0.4205156450913872)},0.9822394982899942,0.9849048326956352,0.9796386804902264,0.9749020433684235,0.9813494151060144,0.9806068939900587,0.003321799798938233,6,0.999995706853163,0.999996621369649,0.9999982221742718,0.9999987555219902,0.9999979428016573,0.9999974497441464,1.1197038066691902e-06
34.521005916595456,0.559296413835088,0.8107719421386719,0.1600228984618416,0.14445251022763064,{'final_estimator__C': np.float64(0.14445251022763064)},0.9821192698559695,0.9846538152218947,0.9795736335466603,0.9750833617236139,0.981555126065042,0.980597041282636,0.0031981415461993755,7,0.9999950971755056,0.9999934205619481,0.9999962411684602,0.9999973840564284,0.9999979428016573,0.9999960171527998,1.6257536308723913e-06
35.09704232215881,1.9751634362593358,0.8691506862640381,0.07939691003184791,0.028585493941961918,{'final_estimator__C': np.float64(0.028585493941961918)},0.9816164225542044,0.984140407314438,0.9791947351003879,0.974923996711877,0.9813429104116577,0.980243694418513,0.0030879290493287413,33,0.9999537407077503,0.999964918131468,0.9999725198937429,0.9999751358373145,0.9999810280597283,0.9999694685260007,9.41405799795922e-06
34.30161366462708,0.9035199599527528,0.6913109302520752,0.025989532146302678,1.1462107403425035,{'final_estimator__C': np.float64(1.1462107403425035)},0.9821631369873028,0.9848650273357216,0.979556558723974,0.9747036501905468,0.9809802737012768,0.9804537293877644,0.003362356281399803,14,0.999995706853163,0.9999967737890633,0.9999983237643134,0.9999987555219902,0.9999979428016573,0.9999975005460374,1.112991718996728e-06
34.71648812294006,0.8088522757770404,0.7964152336120606,0.0885669893584376,0.004982752357076452,{'final_estimator__C': np.float64(0.004982752357076452)},0.9812736090463773,0.9837545390295614,0.979089033817093,0.9747256035340005,0.9810420682976646,0.9799769707449393,0.0030149963647910665,43,0.9999243745672559,0.9999424108646184,0.9999600751136449,0.9999619291319044,0.9999466906256621,0.9999470960606172,1.3615120424913833e-05
35.0474986076355,1.0085063904103386,0.7887149810791015,0.06488828833893631,0.028888383623653185,{'final_estimator__C': np.float64(0.028888383623653185)},0.9816180472627724,0.9841428443772898,0.9791971743607715,0.9749280621458499,0.9813486020192197,0.9802469460331806,0.003087527644316576,32,0.9999540963530504,0.9999652737767681,0.9999727230738262,0.9999752374273562,0.9999812820348323,0.9999697225331665,9.348885703083554e-06
34.960120677948,0.9271718415360749,0.8092543601989746,0.08053853316692458,0.06789053271698488,{'final_estimator__C': np.float64(0.06789053271698488)},0.9818942477193154,0.9843995483310181,0.9793549131989193,0.9750817355500246,0.9815104062913403,0.9804481702181237,0.003124954609679038,15,0.9999866633012461,0.9999828020094164,0.9999876060149229,0.9999897648033071,0.9999968761062202,0.9999887424470225,4.649833294791134e-06
33.97031054496765,1.428716447975025,0.6950088977813721,0.03406022481378147,0.19069966103000435,{'final_estimator__C': np.float64(0.19069966103000435)},0.9821769470101301,0.9847602336330921,0.9796126617127998,0.9750841748104084,0.9815274811140264,0.9806322996560916,0.003226405896601686,2,0.99999560524022,0.9999948939496199,0.9999974602489596,0.9999983999568446,0.9999979428016573,0.9999968604394602,1.367040640406916e-06
33.31990623474121,0.3056704341341142,0.742513370513916,0.07575178017451215,8.43101393208247,{'final_estimator__C': np.float64(8.43101393208247)},0.9820827139131918,0.9848414690614871,0.9794207732292798,0.9745491636995776,0.9807396000100823,0.9803267439827238,0.0034011127581173813,20,0.999995706853163,0.9999968245955347,0.9999983745593342,0.9999987555219902,0.9999979428016573,0.999997520866336,1.1141483344388942e-06
33.506187200546265,0.5861002071436012,0.6744409561157226,0.016853848873350587,0.009962513222055111,{'final_estimator__C': np.float64(0.009962513222055111)},0.9813775903947228,0.9838544586064873,0.9791239965492597,0.9747930897379502,0.9811274424110951,0.9800553155399031,0.0030295125123711688,36,0.9999325036026868,0.9999479995764772,0.9999632751999559,0.9999651800132362,0.9999561384995324,0.9999530193783777,1.1907034026167268e-05
35.16548376083374,0.4928303912036446,0.794180154800415,0.09216975648079964,0.37253938395788866,{'final_estimator__C': np.float64(0.37253938395788866)},0.982258182438525,0.9848958967985119,0.9796281103618968,0.9749483893157143,0.981394134879716,0.9806249427588728,0.0033080843580345137,3,0.999995706853163,0.9999965705631776,0.9999981205842301,0.9999987555219902,0.9999979428016573,0.9999974192648438,1.1139273873118961e-06
34.61184730529785,0.6385411706096462,0.7324497699737549,0.06409947475793726,0.9163741808778786,{'final_estimator__C': np.float64(0.9163741808778786)},0.9821818211358337,0.9848674643985734,0.9795931476297299,0.9747369867491246,0.9810266196485676,0.9804812079123659,0.0033530145570349955,9,0.999995706853163,0.9999967737890633,0.9999983745593342,0.9999987555219902,0.9999979428016573,0.9999975107050417,1.1206647776113697e-06
33.6490665435791,0.6778626310431916,0.6955431938171387,0.05044820220855429,0.0017070728830306638,{'final_estimator__C': np.float64(0.0017070728830306638)},0.981182625366575,0.9836798024354381,0.9790670804736393,0.9746605565904345,0.9809981616107575,0.9799176452953688,0.0030093839436820167,48,0.9999181761777398,0.9999367713462881,0.99995662105223,0.999959389380864,0.9999401380679778,0.9999422192050199,1.492853374262556e-05
33.60905675888061,0.5175869453197549,0.7047452926635742,0.01748132722076868,1.0907475835157696,{'final_estimator__C': np.float64(1.0907475835157696)},0.9821590752158832,0.9848658396900056,0.9795655026787145,0.9747093417981091,0.9809892176560172,0.9804577954077459,0.003360015541699919,13,0.999995706853163,0.9999967737890633,0.9999983745593342,0.9999987555219902,0.9999979428016573,0.9999975107050417,1.1206647776113697e-06
