mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
41.39582557678223,2.9545328129316992,0.014484405517578125,0.0011636904917820122,0.010253509690168494,6,7,12,171,0.7993292420985183,"{'learning_rate': np.float64(0.010253509690168494), 'max_depth': 6, 'min_samples_leaf': 7, 'min_samples_split': 12, 'n_estimators': 171, 'subsample': np.float64(0.7993292420985183)}",0.9789876440913411,0.9835027092015368,0.978406040909649,0.9738531614034203,0.9779807965160857,0.9785460704244067,0.0030700421236838906,13,0.9914070506782359,0.9908367734395148,0.9913672846236513,0.9921426960137947,0.9917529966141564,0.9915013602738707,0.00043432214294598025
24.90020146369934,0.35290455693074363,0.010505580902099609,0.0020886058265570727,0.0026368755339723046,4,7,12,187,0.6668543055695109,"{'learning_rate': np.float64(0.0026368755339723046), 'max_depth': 4, 'min_samples_leaf': 7, 'min_samples_split': 12, 'n_estimators': 187, 'subsample': np.float64(0.6668543055695109)}",0.9731244770469296,0.9788349214859583,0.9736385064896522,0.9674183925111455,0.9740747275549423,0.9734182050177257,0.0036305481159894576,38,0.9775939396415054,0.9760890773605755,0.9778082141542458,0.9790925916528846,0.9781514361098451,0.9777470517838113,0.0009746863674219043
60.65150051116943,1.09257193460509,0.04447026252746582,0.060536334856354464,0.002429927165003111,4,6,6,357,0.8609993861334124,"{'learning_rate': np.float64(0.002429927165003111), 'max_depth': 4, 'min_samples_leaf': 6, 'min_samples_split': 6, 'n_estimators': 357, 'subsample': np.float64(0.8609993861334124)}",0.9731167596812322,0.9793109610963532,0.9740657836002019,0.9681770024904849,0.9740287881510487,0.9737398590038643,0.00353724499501623,37,0.9783347233983921,0.9771530918887875,0.9784917627492582,0.9795541914044767,0.9784788100189521,0.9784025158919734,0.0007623383032971005
27.717483901977538,1.2917232066087234,0.01224222183227539,0.003686530382939492,0.34129160764973576,3,4,6,260,0.6521211214797689,"{'learning_rate': np.float64(0.34129160764973576), 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 6, 'n_estimators': 260, 'subsample': np.float64(0.6521211214797689)}",0.9770168725984776,0.9809470426242294,0.9763716977496197,0.9654068157813641,0.9743528032386872,0.9748190463984756,0.0051691579941073144,32,0.9999920995936905,0.9999940810460768,0.9999976634290428,0.9977148082063827,0.9999951490755128,0.9995387602701411,0.0009119777994098366
28.121202516555787,1.2524490329175193,0.009108591079711913,0.0013820344309976127,0.026079656598095833,5,1,2,158,0.6999304858576277,"{'learning_rate': np.float64(0.026079656598095833), 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 158, 'subsample': np.float64(0.6999304858576277)}",0.9793255834734644,0.9841428443772897,0.9791065151831763,0.9732937576887519,0.978929668805356,0.9789596739056077,0.00343872695030105,12,0.9930256686487288,0.9929669871742112,0.993100867888805,0.9938918733503366,0.9936705594446763,0.9933311913013515,0.0003764499192765385
84.7959460258484,0.42764999252580854,0.020398807525634766,0.0014273525598069315,0.00133643926003303,5,7,4,463,0.7571172192068059,"{'learning_rate': np.float64(0.00133643926003303), 'max_depth': 5, 'min_samples_leaf': 7, 'min_samples_split': 4, 'n_estimators': 463, 'subsample': np.float64(0.7571172192068059)}",0.9754998009732004,0.9808349377330441,0.9755342183512065,0.9689368321000162,0.9752419136485563,0.9752095405612048,0.0037731334344515534,29,0.9822367112117486,0.9815648718366113,0.9828040314382576,0.983503377284741,0.9826240138845139,0.9825466011311745,0.0006399231009087394
27.367875051498412,0.050424456130974925,0.008790874481201172,0.00024709058324053133,0.039710847107924725,4,5,4,234,0.5852620618436457,"{'learning_rate': np.float64(0.039710847107924725), 'max_depth': 4, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 234, 'subsample': np.float64(0.5852620618436457)}",0.9792906522392546,0.9841428443772899,0.9802192244615535,0.9748630152022839,0.9794118292745395,0.9795855131109843,0.0029526243869847767,8,0.994513891810261,0.9942347610561485,0.9946010480333463,0.9947384231671214,0.9948452450958803,0.9945866738325515,0.00020939598915677924
24.544353628158568,0.11095225683784278,0.005976152420043945,0.00013623366957795814,0.0014982086432155466,5,1,13,113,0.9041986740582306,"{'learning_rate': np.float64(0.0014982086432155466), 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 13, 'n_estimators': 113, 'subsample': np.float64(0.9041986740582306)}",0.972727235802078,0.9780652158019156,0.9717196216544528,0.9674480701791474,0.9715517192313728,0.9723023725337934,0.003401711382460553,41,0.979073297073771,0.9776182759413271,0.9785679044854492,0.9796997953316227,0.9796031324070252,0.9789124810478389,0.0007637309396197039
39.68530402183533,0.08046952956340175,0.010687541961669923,0.0010155350577486417,0.00663962307985946,6,2,5,191,0.7200762468698007,"{'learning_rate': np.float64(0.00663962307985946), 'max_depth': 6, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 191, 'subsample': np.float64(0.7200762468698007)}",0.9787354080861745,0.9833617657332716,0.9768936994717377,0.9719216737229049,0.9775957999188539,0.9777016693865885,0.003665451676191094,16,0.9902523211952609,0.9897210379233727,0.9901862495948462,0.9909591212339491,0.9906969427340491,0.9903631345362957,0.0004295309060026352
61.074024248123166,0.16357369071186376,0.01917710304260254,0.004058880001872349,0.0021348999901951954,6,7,4,305,0.6955303037866204,"{'learning_rate': np.float64(0.0021348999901951954), 'max_depth': 6, 'min_samples_leaf': 7, 'min_samples_split': 4, 'n_estimators': 305, 'subsample': np.float64(0.6955303037866204)}",0.9772232105866011,0.982095305404593,0.9767095353127659,0.9708809226258476,0.9764428428441451,0.9766703633547905,0.003558273746760785,21,0.9869628307983954,0.9863076559458915,0.9871438056310243,0.987718246521341,0.9874735669061093,0.9871212211605522,0.00048333688654471764
