mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate_init,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.7047493934631348,0.05336019606438901,0.0034557342529296874,0.0001348677741579616,relu,0.015352246941973482,128,"(256, 128)",0.0036256176345762273,adam,"{'activation': 'relu', 'alpha': np.float64(0.015352246941973482), 'batch_size': 128, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': np.float64(0.0036256176345762273), 'solver': 'adam'}",0.9739153039423554,0.9785107921266624,0.9750740112254763,0.9637806421922122,0.9687002238427945,0.9719961946659001,0.00517599538987105,31,0.9898182053000091,0.9873145640002008,0.9887557602188534,0.99379150238922,0.9954235464077786,0.9910207156632124,0.0030781095540641256
0.9530404090881348,0.23793989588418882,0.003387928009033203,3.397376912637865e-05,relu,4.207988669606632e-05,128,"(256, 128)",0.0008288916866885145,adam,"{'activation': 'relu', 'alpha': np.float64(4.207988669606632e-05), 'batch_size': 128, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': np.float64(0.0008288916866885145), 'solver': 'adam'}",0.9726220359223064,0.9773117572035516,0.9749756277233326,0.9661101358586724,0.9680440627995717,0.9718127239014869,0.004186182764229113,36,0.9882304522609187,0.9965439151832701,0.9930503776381219,0.9917814418258089,0.9974830813214568,0.9934178536459152,0.0033472481885773193
1.3516245365142823,0.25845310223236234,0.0033825397491455077,1.9659111845945333e-05,relu,0.002537815508265664,256,"(256, 128)",0.00010994335574766199,adam,"{'activation': 'relu', 'alpha': np.float64(0.002537815508265664), 'batch_size': 256, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': np.float64(0.00010994335574766199), 'solver': 'adam'}",0.9722020487575042,0.9753361115849845,0.9732746501490794,0.9631732663566639,0.970544304692893,0.9709060763082249,0.004167544304043478,46,0.9868805243146562,0.983324274539475,0.9851788764436009,0.9833390045974066,0.9917936834258234,0.9861032726641923,0.0031369861861064298
4.262384128570557,0.9015818449984345,0.012121438980102539,4.028441551941619e-05,tanh,0.007726718477963434,64,"(512, 256, 128)",0.00010035927878780911,adam,"{'activation': 'tanh', 'alpha': np.float64(0.007726718477963434), 'batch_size': 64, 'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': np.float64(0.00010035927878780911), 'solver': 'adam'}",0.9727983168019237,0.9772418947351318,0.9740836715096827,0.9684550781742299,0.9712622603325037,0.9727682443106943,0.0029194585475374197,17,0.9970233250478139,0.9853349914533354,0.990705984247753,0.993315248274125,0.991693820414915,0.9916146738875884,0.0038055709985901163
1.1092673778533935,0.465073531702072,0.006867885589599609,4.257037004050109e-05,tanh,5.415244119402538e-05,256,"(512,)",0.0011207606211860567,adam,"{'activation': 'tanh', 'alpha': np.float64(5.415244119402538e-05), 'batch_size': 256, 'hidden_layer_sizes': (512,), 'learning_rate_init': np.float64(0.0011207606211860567), 'solver': 'adam'}",0.9763881103827,0.9739640451993924,0.9759854815221961,0.9649181506178242,0.9740169983925274,0.973054557222928,0.004187062639725298,11,0.9967056829883474,0.9767717131108944,0.9953710497537737,0.9905286334326022,0.9982294125621878,0.991521298369561,0.007813230760662579
0.9120244026184082,0.2291308104758175,0.005556774139404297,1.3553755469891174e-05,tanh,1.2366582530130825e-05,128,"(256, 128)",0.0006305535040199287,adam,"{'activation': 'tanh', 'alpha': np.float64(1.2366582530130825e-05), 'batch_size': 128, 'hidden_layer_sizes': (256, 128), 'learning_rate_init': np.float64(0.0006305535040199287), 'solver': 'adam'}",0.9694676642377273,0.9774189879690331,0.9714069897819383,0.9676224772965838,0.970452425885106,0.9712737090340777,0.0033181324254540896,40,0.9808515743807759,0.9948255895125687,0.9810928741747904,0.9960103304881519,0.9974138985031165,0.9900388534118807,0.007448480537312995
2.5131069660186767,0.5031632025727292,0.012126827239990234,4.592726591875791e-05,tanh,0.00014742753159914678,256,"(512, 256, 128)",0.00015177941306507495,adam,"{'activation': 'tanh', 'alpha': np.float64(0.00014742753159914678), 'batch_size': 256, 'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': np.float64(0.00015177941306507495), 'solver': 'adam'}",0.9755018318589103,0.9775977059115022,0.9746926735188202,0.9657662001445668,0.9714948031557524,0.9730106429179104,0.004119614483665317,12,0.9919694021074117,0.9963150828358872,0.9877556570541662,0.9856536321055822,0.9910307930083092,0.9905449134222714,0.003667824588337244
1.999274444580078,0.5058181855980078,0.01092534065246582,0.0004319492347683064,tanh,6.290644294586152e-05,128,"(512, 256)",0.0015304852121831463,adam,"{'activation': 'tanh', 'alpha': np.float64(6.290644294586152e-05), 'batch_size': 128, 'hidden_layer_sizes': (512, 256), 'learning_rate_init': np.float64(0.0015304852121831463), 'solver': 'adam'}",0.9760063038692434,0.9790331359312424,0.9755870689928539,0.9711813581964432,0.9713151109741511,0.9746245955927868,0.003002641268330947,1,0.9940363617851605,0.997405237293657,0.9939482304259228,0.9987329436034568,0.9919192487172607,0.9952084043650915,0.0024911330273831157
1.0396923542022705,0.060782016976465715,0.003904867172241211,2.4235996177576838e-05,relu,0.027527173929429397,128,"(256, 128, 64)",0.0007961566078062948,adam,"{'activation': 'relu', 'alpha': np.float64(0.027527173929429397), 'batch_size': 128, 'hidden_layer_sizes': (256, 128, 64), 'learning_rate_init': np.float64(0.0007961566078062948), 'solver': 'adam'}",0.9721443716033435,0.9777894215225144,0.9743593079330439,0.9652474507696273,0.9720046085759516,0.9723090320808963,0.004104242119090765,23,0.9947189467290083,0.9910434541653482,0.9958276461958163,0.9922178218495696,0.9957792639384965,0.9939174265756477,0.00194454033433557
2.2236773490905763,0.4705623160967086,0.01569528579711914,0.0006029011703515431,tanh,0.06245139574743072,256,"(512, 256, 128)",0.004138040112561018,adam,"{'activation': 'tanh', 'alpha': np.float64(0.06245139574743072), 'batch_size': 256, 'hidden_layer_sizes': (512, 256, 128), 'learning_rate_init': np.float64(0.004138040112561018), 'solver': 'adam'}",0.9688575861704807,0.9764035451140951,0.9746593369602427,0.9647872436438972,0.9707443240443587,0.971090407186615,0.00414250716941335,44,0.9967931209257022,0.9844289088416064,0.9891817272633486,0.9925684090831858,0.9953252072474945,0.9916594746722674,0.004450581880737927
