mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.9544687747955323,0.07464227798208267,0.008253765106201173,0.0014705158183712878,0.6872700594236812,0.36808608148776095,4,8,288,0.09643857615941427,0.7792297153882993,0.5499874579090014,"{'colsample_bytree': np.float64(0.6872700594236812), 'learning_rate': np.float64(0.36808608148776095), 'max_depth': 4, 'min_child_weight': 8, 'n_estimators': 288, 'reg_alpha': np.float64(0.09643857615941427), 'reg_lambda': np.float64(0.7792297153882993), 'subsample': np.float64(0.5499874579090014)}",0.9723933581913745,0.9801127547746123,0.9761399680131656,0.9700698685482579,0.9756862655817922,0.9748804430218405,0.0034333673616411087,43,0.9999949955625628,0.9999967229825919,0.9999982221742718,0.9999987555219902,0.9999975364414908,0.9999972465365815,1.3155944311237506e-06
1.681267499923706,0.0028003789759377703,0.008789634704589844,0.0004580139578612752,0.7296244459829335,0.007955537581329901,4,6,408,7.072114131472227,4.622589001020832,0.6061695553391381,"{'colsample_bytree': np.float64(0.7296244459829335), 'learning_rate': np.float64(0.007955537581329901), 'max_depth': 4, 'min_child_weight': 6, 'n_estimators': 408, 'reg_alpha': np.float64(7.072114131472227), 'reg_lambda': np.float64(4.622589001020832), 'subsample': np.float64(0.6061695553391381)}",0.9754599956132868,0.9808097547502418,0.9755764988645242,0.9710618344376407,0.9756301625929663,0.9757076492517319,0.0030886765041273087,41,0.9802837866591554,0.9794544472225423,0.9805930003750196,0.9814246926482183,0.9803861376527795,0.980428412911543,0.0006310270137763279
1.9011620044708253,0.008719421175676105,0.008980798721313476,0.0006059276622347295,0.5909124836035503,0.0031261029103110596,5,6,352,0.01444525102276306,0.38234752246751863,0.8059264473611898,"{'colsample_bytree': np.float64(0.5909124836035503), 'learning_rate': np.float64(0.0031261029103110596), 'max_depth': 5, 'min_child_weight': 6, 'n_estimators': 352, 'reg_alpha': np.float64(0.01444525102276306), 'reg_lambda': np.float64(0.38234752246751863), 'subsample': np.float64(0.8059264473611898)}",0.9768771476616381,0.9816598835083956,0.9761643606170028,0.971218760188994,0.9768782508226405,0.9765596805597342,0.0033134891203817998,35,0.9828612497619718,0.9819814086927435,0.9832814030438104,0.983938004880284,0.9832052613076192,0.9830534655372857,0.0006393215301071973
4.0436639308929445,0.02117781183408343,0.014703035354614258,9.139763091483274e-05,0.569746930326021,0.00614454378558747,7,3,463,0.03725393839578886,1.5304852121831465,0.5232252063599989,"{'colsample_bytree': np.float64(0.569746930326021), 'learning_rate': np.float64(0.00614454378558747), 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 463, 'reg_alpha': np.float64(0.03725393839578886), 'reg_lambda': np.float64(1.5304852121831465), 'subsample': np.float64(0.5232252063599989)}",0.9797943118953037,0.9842866310855491,0.979518343644629,0.9749630248780168,0.9794825678256676,0.9796089758658333,0.002950385112885673,9,0.9926708870586366,0.9925033019125791,0.9928156030519477,0.9933493317330869,0.9928411783449245,0.992836060420235,0.0002835145856798996
0.6468778133392334,0.0016166929535264092,0.0053027629852294925,5.359925402135522e-05,0.8037724259507192,0.0028856223618597358,3,4,188,6.732248920775331,4.138040112561017,0.6523068845866853,"{'colsample_bytree': np.float64(0.8037724259507192), 'learning_rate': np.float64(0.0028856223618597358), 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 188, 'reg_alpha': np.float64(6.732248920775331), 'reg_lambda': np.float64(4.138040112561017), 'subsample': np.float64(0.6523068845866853)}",0.9677893402870859,0.971355575593628,0.9677212673421249,0.963165135488718,0.96836360590984,0.9676789849242793,0.002622015548378316,48,0.9696925172025631,0.968361235231321,0.9697312978955775,0.9717708703660781,0.9703451049270204,0.969980205124512,0.0011050263831541489
1.4797168254852295,0.00663870929753276,0.020257186889648438,0.022908749014861396,0.5488360570031919,0.07026263205443048,5,7,363,0.00014857392806279257,6.586289317583113,0.6293899908000085,"{'colsample_bytree': np.float64(0.5488360570031919), 'learning_rate': np.float64(0.07026263205443048), 'max_depth': 5, 'min_child_weight': 7, 'n_estimators': 363, 'reg_alpha': np.float64(0.00014857392806279257), 'reg_lambda': np.float64(6.586289317583113), 'subsample': np.float64(0.6293899908000085)}",0.9806732792305379,0.9851980925921413,0.9817396967674108,0.9758102613179649,0.9802509348465421,0.9807344529509194,0.0030139604906722624,5,0.9995485082915145,0.9995343332859817,0.9995060184226429,0.9995790870600753,0.9995802553455536,0.9995496404811537,2.8081477876148962e-05
2.528520441055298,0.008746554413619427,0.03321571350097656,0.018250121554405696,0.831261142176991,0.006939031266619744,7,6,205,0.0689448195258727,0.1155118620973099,0.9211423872974993,"{'colsample_bytree': np.float64(0.831261142176991), 'learning_rate': np.float64(0.006939031266619744), 'max_depth': 7, 'min_child_weight': 6, 'n_estimators': 205, 'reg_alpha': np.float64(0.0689448195258727), 'reg_lambda': np.float64(0.1155118620973099), 'subsample': np.float64(0.9211423872974993)}",0.9785278515666251,0.9832910909105679,0.9782161851431156,0.9739263392149321,0.978271881588544,0.978446669684757,0.002966212031193031,19,0.9913752966335836,0.9908078137507917,0.991200905532995,0.9919135342774198,0.9913906249357125,0.9913376350261005,0.00035645246889976976
1.7576477527618408,0.010163331110073224,0.022301292419433592,0.020375797413510758,0.7248770666848828,0.011654633855331943,5,8,314,0.0401949321712464,8.362652463906244,0.9222669243390758,"{'colsample_bytree': np.float64(0.7248770666848828), 'learning_rate': np.float64(0.011654633855331943), 'max_depth': 5, 'min_child_weight': 8, 'n_estimators': 314, 'reg_alpha': np.float64(0.0401949321712464), 'reg_lambda': np.float64(8.362652463906244), 'subsample': np.float64(0.9222669243390758)}",0.9781622921388476,0.982915377054241,0.9780271424633765,0.9731913087526354,0.9780718622370782,0.9780735965292358,0.0030753731638625726,22,0.9867535589425183,0.9858944723168747,0.98644440898952,0.9875411496812943,0.9866174676254126,0.986650211511124,0.0005327325941439642
1.068004322052002,0.003948355453863108,0.00692901611328125,0.00011795630955492897,0.8736600550686904,0.028616260253493273,3,9,351,0.10843543809852559,0.3564497907039464,0.6481367528520412,"{'colsample_bytree': np.float64(0.8736600550686904), 'learning_rate': np.float64(0.028616260253493273), 'max_depth': 3, 'min_child_weight': 9, 'n_estimators': 351, 'reg_alpha': np.float64(0.10843543809852559), 'reg_lambda': np.float64(0.3564497907039464), 'subsample': np.float64(0.6481367528520412)}",0.9771687828495763,0.9833524236590062,0.979549240942823,0.9743597144764412,0.9778425717610079,0.978454546737771,0.002965903138504023,18,0.9875424818310977,0.9868622339849364,0.9876555400681536,0.988721041822131,0.987741002690663,0.9877044600793964,0.0005954407975123611
0.5191906929016114,0.0002888883833460933,0.005278253555297851,0.00012173500426162886,0.5826334695315012,0.0011020522682546358,2,8,228,0.0009853225172032562,0.1025756397418565,0.9077307142274171,"{'colsample_bytree': np.float64(0.5826334695315012), 'learning_rate': np.float64(0.0011020522682546358), 'max_depth': 2, 'min_child_weight': 8, 'n_estimators': 228, 'reg_alpha': np.float64(0.0009853225172032562), 'reg_lambda': np.float64(0.1025756397418565), 'subsample': np.float64(0.9077307142274171)}",0.9607121097653109,0.965514342114883,0.9604238133608048,0.9551078518978665,0.9592696366559043,0.9602055507589539,0.0033271602046698653,49,0.9605950850225977,0.9598891291018858,0.9609767760593315,0.9625756509293024,0.9604387805964444,0.9608950843419123,0.0009100699133584098
0.7160398006439209,0.002223373763164972,0.0059277057647705075,4.503034621256282e-05,0.8534286719238086,0.09280438123997174,2,5,330,0.1800466841342129,6.759574377750828,0.9250192888948996,"{'colsample_bytree': np.float64(0.8534286719238086), 'learning_rate': np.float64(0.09280438123997174), 'max_depth': 2, 'min_child_weight': 5, 'n_estimators': 330, 'reg_alpha': np.float64(0.1800466841342129), 'reg_lambda': np.float64(6.759574377750828), 'subsample': np.float64(0.9250192888948996)}",0.9767869763361198,0.9838609574407591,0.9786914343745452,0.9723692780033191,0.9786914343745452,0.9780800161058576,0.0037000386170431077,21,0.9884998535757493,0.9879792142596288,0.9885514626451638,0.9892708471273562,0.9888430006670911,0.9886288756549979,0.0004248944084791013
3.217089796066284,0.04966643141958755,0.011138343811035156,0.00013883812967170194,0.7247253370691017,0.0018092935814649968,7,8,392,0.44466289554754435,1.8841476921545086,0.9436063712881633,"{'colsample_bytree': np.float64(0.7247253370691017), 'learning_rate': np.float64(0.0018092935814649968), 'max_depth': 7, 'min_child_weight': 8, 'n_estimators': 392, 'reg_alpha': np.float64(0.44466289554754435), 'reg_lambda': np.float64(1.8841476921545086), 'subsample': np.float64(0.9436063712881633)}",0.9774145200204712,0.9818256037823214,0.9764355250629939,0.971358611117661,0.9762521739908172,0.9766572867948529,0.0033338914566227893,33,0.9837353751031623,0.9833706862511389,0.984666989621409,0.9843529494052639,0.9847099368115021,0.9841671874384952,0.0005291054047443019
3.798125410079956,0.05432295036852039,0.011542034149169923,0.00020727373565927493,0.7361074625809747,0.0021027192106506244,7,3,356,0.4061136676690665,0.2964625497665006,0.6280341613806619,"{'colsample_bytree': np.float64(0.7361074625809747), 'learning_rate': np.float64(0.0021027192106506244), 'max_depth': 7, 'min_child_weight': 3, 'n_estimators': 356, 'reg_alpha': np.float64(0.4061136676690665), 'reg_lambda': np.float64(0.2964625497665006), 'subsample': np.float64(0.6280341613806619)}",0.9784685497038967,0.9829852395226606,0.977203485540471,0.9728388356271866,0.9779031467272038,0.9778798514242839,0.0032336173875699543,25,0.9888222968467675,0.9879494670705985,0.9889189900182197,0.9891791875123084,0.9890284786855712,0.9887796840266931,0.00043173696232820166
0.49019761085510255,0.0016540440534635727,0.005199337005615234,5.6211719400428315e-05,0.5202167947692157,0.08280524042035706,3,3,162,3.011743476803372,0.8927717642767777,0.7816377859881918,"{'colsample_bytree': np.float64(0.5202167947692157), 'learning_rate': np.float64(0.08280524042035706), 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 162, 'reg_alpha': np.float64(3.011743476803372), 'reg_lambda': np.float64(0.8927717642767777), 'subsample': np.float64(0.7816377859881918)}",0.9780371895791193,0.9836936124582653,0.9798500830568161,0.9738783670940523,0.9788044534389913,0.9788527411254488,0.003157232307530232,15,0.9893354930148214,0.9889469759276905,0.9893811739125509,0.9903224056481218,0.9896560003726323,0.9895284097751634,0.00045687403110368535
1.0494731426239015,0.012255073357139542,0.0060198307037353516,0.0004110463255494979,0.8477580432130638,0.0023771216972851865,6,4,112,0.00024260488932164486,0.3797544798678416,0.5806106436270022,"{'colsample_bytree': np.float64(0.8477580432130638), 'learning_rate': np.float64(0.0023771216972851865), 'max_depth': 6, 'min_child_weight': 4, 'n_estimators': 112, 'reg_alpha': np.float64(0.00024260488932164486), 'reg_lambda': np.float64(0.3797544798678416), 'subsample': np.float64(0.5806106436270022)}",0.9772183364608973,0.9816018001770932,0.9764172306101161,0.9711459889208793,0.9764733335989417,0.9765713379535855,0.0033224064562942255,34,0.9845681185733623,0.9834132112677374,0.9847021397758079,0.9850861247356055,0.9846616815417345,0.9844862551788495,0.000564862621113762
