mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.6123319149017334,0.18503327674330006,0.038012027740478516,0.006190030500246375,30,sqrt,7,12,171,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 12, 'n_estimators': 171}",0.9800225834490938,0.9837602255095493,0.9789101547222862,0.9736653383538731,0.9779368898291787,0.9788590383727962,0.0032619921274672967,33,0.9958641754018233,0.9958433447485313,0.9960338231852756,0.9962948841947178,0.9960883516401129,0.9960249158340921,0.00016479799987089146
4.409359359741211,0.23980559912435434,0.08065462112426758,0.0014149212063442836,40,sqrt,7,11,566,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 7, 'min_samples_split': 11, 'n_estimators': 566}",0.9798121836895507,0.9836229376355615,0.9786450884272544,0.973758030248455,0.9786093126082931,0.9788895105218229,0.0031536328525224575,32,0.9959654835058823,0.9958629560465088,0.9960331120549841,0.9963335392055527,0.9961429054924605,0.9960675992610778,0.00016117749387852548
12.0341872215271,0.31559784835821314,0.05533337593078613,0.00010676468094515203,20,0.3,5,5,459,"{'max_depth': 20, 'max_features': 0.3, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 459}",0.9816895344397599,0.9853670622832029,0.9791036693793953,0.9759850749787988,0.980142387759466,0.9804575457681246,0.003084037915026894,2,0.9980711577148713,0.9981514319397524,0.9981896146633846,0.9982954968842588,0.998239114411162,0.9981893631226859,7.635564471433338e-05
2.025816869735718,0.02808062408387176,0.06621990203857422,0.0014645570344644812,20,log2,5,3,443,"{'max_depth': 20, 'max_features': 'log2', 'min_samples_leaf': 5, 'min_samples_split': 3, 'n_estimators': 443}",0.9783783783783784,0.982226500621451,0.9778149268099923,0.9726123909548972,0.9778271231119108,0.9777718639753259,0.0030606116120327504,43,0.997159435584812,0.997177979946889,0.997273983618301,0.9974504709180981,0.9973529952731677,0.9972829730682534,0.00010892613501175235
1.344193983078003,0.033428841824823016,0.04139275550842285,0.0014590170408247368,30,log2,6,3,291,"{'max_depth': 30, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 3, 'n_estimators': 291}",0.9783605065841315,0.9821070845417103,0.9776173467189101,0.9721375482668649,0.9774783088770378,0.9775401589977311,0.0031852084759953496,45,0.9961937569820793,0.9960867077467473,0.996274337608801,0.9964891243542874,0.9963146942528329,0.9962717241889496,0.00013373560294452607
3.5265471935272217,0.07910400075733509,0.055137014389038085,0.0008404252356670884,30,sqrt,1,13,413,"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 13, 'n_estimators': 413}",0.980232983208637,0.9844044224567218,0.9784609242682828,0.9740686294039829,0.980040345366747,0.9794414609408744,0.0033300128514410334,26,0.9990842387554609,0.999125696836159,0.9992194837102655,0.9992473447791786,0.9992648182663365,0.9991883164694799,7.07978138066718e-05
30.410408639907835,1.0149710579168076,0.06699910163879394,0.0013575884393273987,40,0.5,1,2,574,"{'max_depth': 40, 'max_features': 0.5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 574}",0.9818930291878895,0.9856980966539128,0.9780869043427779,0.974825206666336,0.9802350796540479,0.9801476633009928,0.0036451756120877486,14,0.999995706853163,0.9999969262084776,0.9999983745593342,0.9999987555219901,0.9999979428016573,0.9999975411889244,1.102124535366452e-06
8.590522050857544,0.18634926396543577,0.04162821769714355,0.006086951581366198,20,0.3,2,13,287,"{'max_depth': 20, 'max_features': 0.3, 'min_samples_leaf': 2, 'min_samples_split': 13, 'n_estimators': 287}",0.9812833572977847,0.9853236013290116,0.9787113550010124,0.9748613890286946,0.9802806125145441,0.9800920630342095,0.0034085196518092047,15,0.9987007515090031,0.9987534886263616,0.9988327812168547,0.9988476387604409,0.9988850746907764,0.9988039469606873,6.71080338485347e-05
17.98474407196045,0.44087200064235116,0.04817938804626465,0.0017562214004390065,20,0.5,7,5,419,"{'max_depth': 20, 'max_features': 0.5, 'min_samples_leaf': 7, 'min_samples_split': 5, 'n_estimators': 419}",0.9813532197662045,0.9849145809470428,0.979597213063703,0.9754874658605182,0.9797825968528664,0.9802270152980668,0.003042995093565694,10,0.9968688225681533,0.996918917748997,0.9970244276810717,0.9971790731219214,0.997095058157505,0.9970172598555298,0.00011313026553009162
6.3123486042022705,0.14510697595765654,0.03442106246948242,0.0005319842811181498,,0.3,5,4,234,"{'max_depth': None, 'max_features': 0.3, 'min_samples_leaf': 5, 'min_samples_split': 4, 'n_estimators': 234}",0.9817585845538956,0.9852273373463635,0.9792687259986942,0.9760781734167777,0.9797236480602596,0.9804112938751981,0.0030187321151590213,3,0.9980842657845038,0.9981362916112622,0.9981845351613038,0.9983011351315685,0.9982393683862661,0.998189119214981,7.599809988335373e-05
