model,threshold,accuracy,precision,recall,specificity,f1,mcc,auc_roc,tp,tn,fp,fn
RF,0.48,0.9184905660377358,0.9159789947486872,0.9215094339622641,0.9154716981132075,0.9187358916478555,0.8369963882540549,0.9719045923816305,1221,1213,112,104
SVM,0.4,0.9064150943396226,0.8910675381263616,0.9260377358490566,0.8867924528301887,0.9082161361954109,0.8134568700537803,0.9614667141331434,1227,1175,150,98
GB,0.5,0.9056603773584906,0.9125095932463546,0.8973584905660378,0.9139622641509434,0.9048706240487062,0.8114326124473795,0.9624526877892489,1189,1211,114,136
XGB,0.64,0.920377358490566,0.9338006230529595,0.9049056603773585,0.9358490566037736,0.919126101954772,0.8411575149634566,0.9719011747953007,1199,1240,85,126
LGBM,0.62,0.9162264150943397,0.9415532425940752,0.8875471698113208,0.9449056603773585,0.9137529137529138,0.833825601853214,0.9720139551441794,1176,1252,73,149
